,date,homeTeam,awayTeam,homeScore,awayScore,outcome,eloProbHome,eloProbAway,eloLogLoss,eloAbsDiff
548,2022-02-02,DAL,OKC,114,120,AWAY,0.8849825973770331,0.1150174026229668,3.120075931296989,0.8849825973770332
866,2021-12-20,MEM,OKC,99,102,AWAY,0.8855890424306693,0.1144109575693307,3.127702863803465,0.8855890424306693
421,2022-02-25,PHO,NOP,102,117,AWAY,0.8943019673952927,0.1056980326047073,3.241979571315752,0.8943019673952927
698,2022-01-13,BRK,OKC,109,130,AWAY,0.8943516897757973,0.1056483102242027,3.242658402395944,0.8943516897757973
385,2022-03-02,DEN,OKC,107,119,AWAY,0.9006617344605652,0.0993382655394348,3.3315066324449245,0.9006617344605652
650,2022-01-19,UTA,HOU,111,116,AWAY,0.9120527493957687,0.0879472506042311,3.5072177127215056,0.9120527493957687
877,2021-12-18,BRK,ORL,93,100,AWAY,0.9214352300612008,0.0785647699387992,3.6699736664593785,0.9214352300612008
774,2022-01-03,MIL,DET,106,115,AWAY,0.9221824789453807,0.0778175210546191,3.683761167047754,0.9221824789453807
93,2022-04-10,PHO,SAC,109,116,AWAY,0.9254485591248428,0.074551440875157,3.745619953652926,0.925448559124843
448,2022-02-16,BOS,DET,111,112,AWAY,0.9395951421391128,0.0604048578608872,4.049191611582159,0.9395951421391128
