,date,homeTeam,awayTeam,homeScore,awayScore,outcome,eloProbHome,eloProbAway,eloLogLoss,eloAbsDiff
443,2022-02-16,PHO,HOU,124,121,HOME,0.9587005755113812,0.0412994244886189,0.0608477965117902,0.0412994244886187
470,2022-02-12,PHO,ORL,132,105,HOME,0.9466422293359252,0.0533577706640746,0.0791088133196425,0.0533577706640747
844,2021-12-23,PHO,OKC,113,101,HOME,0.9405032647346792,0.0594967352653207,0.088495143155525,0.0594967352653208
988,2021-12-02,PHO,DET,114,103,HOME,0.9400438346342516,0.0599561653657483,0.0892000630598777,0.0599561653657484
351,2022-03-07,MIA,HOU,123,106,HOME,0.934366551881265,0.0656334481187349,0.0979394648247522,0.0656334481187349
807,2021-12-29,PHO,OKC,115,97,HOME,0.9316909750676156,0.0683090249323844,0.1020765763446376,0.0683090249323844
957,2021-12-06,GSW,ORL,126,95,HOME,0.930102544380926,0.0698974556190741,0.1045383118771448,0.069897455619074
324,2022-03-11,BOS,DET,114,103,HOME,0.9215762277832384,0.0784237722167616,0.1178245921930369,0.0784237722167615
110,2022-04-08,DAL,POR,128,78,HOME,0.9205164639286704,0.0794835360713295,0.1194845697099724,0.0794835360713296
369,2022-03-04,DEN,HOU,116,101,HOME,0.9173277918968684,0.0826722081031317,0.1244907457542423,0.0826722081031315
