,date,homeTeam,awayTeam,homeScore,awayScore,outcome,raptorProbHome,raptorProbAway,raptorLogLoss,raptorAbsDiff
788,2022-01-01,BRK,LAC,116,120,AWAY,0.8947532716800817,0.1052467283199183,3.2481527082464425,0.8947532716800817
1271,2021-10-25,DEN,CLE,87,99,AWAY,0.9007098538137216,0.0992901461862784,3.3322056417449986,0.9007098538137216
855,2021-12-22,ATL,ORL,98,104,AWAY,0.9013748920431764,0.0986251079568236,3.341901215447728,0.9013748920431764
548,2022-02-02,DAL,OKC,114,120,AWAY,0.907004591042984,0.092995408957016,3.426696695472747,0.907004591042984
448,2022-02-16,BOS,DET,111,112,AWAY,0.9171241763327528,0.0828758236672473,3.592904886151334,0.9171241763327528
90,2022-04-10,DEN,LAL,141,146,AWAY,0.9208151882605105,0.0791848117394895,3.658632453023278,0.9208151882605105
650,2022-01-19,UTA,HOU,111,116,AWAY,0.9298658082931922,0.0701341917068077,3.833738233702974,0.9298658082931924
249,2022-03-21,DET,POR,115,119,AWAY,0.9310582832726348,0.0689417167273651,3.858478965870537,0.9310582832726348
774,2022-01-03,MIL,DET,106,115,AWAY,0.9603528637317088,0.0396471362682911,4.656639526638437,0.9603528637317088
385,2022-03-02,DEN,OKC,107,119,AWAY,0.966875029216304,0.0331249707836959,4.915937007671468,0.966875029216304
