,date,homeTeam,awayTeam,homeScore,awayScore,outcome,betProbHome,betProbAway,betLogLoss,betAbsDiff
330,2022-03-09,UTA,POR,123,85,HOME,0.9356432734409452,0.0601570149097823,0.0959695071015417,0.0643567265590547
110,2022-04-08,DAL,POR,128,78,HOME,0.9356432734409452,0.0596358526519006,0.0959695071015417,0.0643567265590547
100,2022-04-10,BRK,IND,134,126,HOME,0.9178241703378238,0.0825805808787245,0.1237102951459312,0.0821758296621761
207,2022-03-26,DEN,OKC,113,107,HOME,0.9178241703378238,0.0790578653695417,0.1237102951459312,0.0821758296621761
443,2022-02-16,PHO,HOU,124,121,HOME,0.9178241703378238,0.0821581738154061,0.1237102951459312,0.0821758296621761
120,2022-04-07,NOP,POR,127,94,HOME,0.9178241703378238,0.0821581738154061,0.1237102951459312,0.0821758296621761
807,2021-12-29,PHO,OKC,115,97,HOME,0.9178241703378238,0.0891503588209726,0.1237102951459312,0.0821758296621761
351,2022-03-07,MIA,HOU,123,106,HOME,0.9178241703378238,0.0849088439519572,0.1237102951459312,0.0821758296621761
470,2022-02-12,PHO,ORL,132,105,HOME,0.9178241703378238,0.0836558488589161,0.1237102951459312,0.0821758296621761
137,2022-04-05,BRK,HOU,118,105,HOME,0.9178241703378238,0.0833663822538679,0.1237102951459312,0.0821758296621761
