,date,homeTeam,awayTeam,homeScore,awayScore,outcome,betProbHome,betProbAway,betLogLoss,betAbsDiff
448,2022-02-16,BOS,DET,111,112,AWAY,0.8528160257068766,0.1440531209050395,2.7953271781212705,0.8559468790949605
445,2022-02-16,MEM,POR,119,123,AWAY,0.8528160257068766,0.1436237524373643,2.799633733679993,0.8563762475626358
548,2022-02-02,DAL,OKC,114,120,AWAY,0.8604232696527091,0.141931572732653,2.8167325417245417,0.8580684272673469
1031,2021-11-26,UTA,NOP,97,98,AWAY,0.8761048898679228,0.1243503714651244,3.007517277641409,0.8756496285348755
650,2022-01-19,UTA,HOU,111,116,AWAY,0.8841352484786031,0.1182472857490447,3.080121026598249,0.8817527142509552
788,2022-01-01,BRK,LAC,116,120,AWAY,0.8841352484786031,0.1150018351855268,3.120271211179161,0.8849981648144732
145,2022-04-03,OKC,PHO,117,96,HOME,0.1042982011747526,0.8923290544951066,3.2612138188958664,0.8957017988252474
644,2022-01-20,GSW,IND,117,121,AWAY,0.9006862500872385,0.1005965948700119,3.313346623215989,0.8994034051299881
385,2022-03-02,DEN,OKC,107,119,AWAY,0.9006862500872385,0.0973449877631025,3.3607494924467813,0.9026550122368976
774,2022-01-03,MIL,DET,106,115,AWAY,0.9178241703378238,0.0836558488589161,3.579389778922122,0.9163441511410838
