index;TeamsRaw;Bookmaker;OddHome;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
0;Los Angeles Clippers - Utah Jazz;10x10bet;+131;-164;Saturday, 19 Jun 2021, 02:00;Final result 131:119 (31:33, 19:39, 41:22, 40:25);1;Los Angeles Clippers;Utah Jazz;19 Jun 2021;131;119;2020-2021
1;Los Angeles Clippers - Utah Jazz;1xBet;+134;-143;Saturday, 19 Jun 2021, 02:00;Final result 131:119 (31:33, 19:39, 41:22, 40:25);1;Los Angeles Clippers;Utah Jazz;19 Jun 2021;131;119;2020-2021
2;Los Angeles Clippers - Utah Jazz;bet-at-home;+123;-156;Saturday, 19 Jun 2021, 02:00;Final result 131:119 (31:33, 19:39, 41:22, 40:25);1;Los Angeles Clippers;Utah Jazz;19 Jun 2021;131;119;2020-2021
3;Los Angeles Clippers - Utah Jazz;bet365;+129;-152;Saturday, 19 Jun 2021, 02:00;Final result 131:119 (31:33, 19:39, 41:22, 40:25);1;Los Angeles Clippers;Utah Jazz;19 Jun 2021;131;119;2020-2021
4;Los Angeles Clippers - Utah Jazz;bwin;+125;-149;Saturday, 19 Jun 2021, 02:00;Final result 131:119 (31:33, 19:39, 41:22, 40:25);1;Los Angeles Clippers;Utah Jazz;19 Jun 2021;131;119;2020-2021
5;Los Angeles Clippers - Utah Jazz;Coolbet;+131;-152;Saturday, 19 Jun 2021, 02:00;Final result 131:119 (31:33, 19:39, 41:22, 40:25);1;Los Angeles Clippers;Utah Jazz;19 Jun 2021;131;119;2020-2021
6;Los Angeles Clippers - Utah Jazz;Curebet;+129;-154;Saturday, 19 Jun 2021, 02:00;Final result 131:119 (31:33, 19:39, 41:22, 40:25);1;Los Angeles Clippers;Utah Jazz;19 Jun 2021;131;119;2020-2021
7;Los Angeles Clippers - Utah Jazz;GGBET;-185;+150;Saturday, 19 Jun 2021, 02:00;Final result 131:119 (31:33, 19:39, 41:22, 40:25);1;Los Angeles Clippers;Utah Jazz;19 Jun 2021;131;119;2020-2021
8;Los Angeles Clippers - Utah Jazz;Lasbet;+133;-152;Saturday, 19 Jun 2021, 02:00;Final result 131:119 (31:33, 19:39, 41:22, 40:25);1;Los Angeles Clippers;Utah Jazz;19 Jun 2021;131;119;2020-2021
9;Los Angeles Clippers - Utah Jazz;Marathonbet;+129;-145;Saturday, 19 Jun 2021, 02:00;Final result 131:119 (31:33, 19:39, 41:22, 40:25);1;Los Angeles Clippers;Utah Jazz;19 Jun 2021;131;119;2020-2021
10;Los Angeles Clippers - Utah Jazz;Parimatch;+114;-143;Saturday, 19 Jun 2021, 02:00;Final result 131:119 (31:33, 19:39, 41:22, 40:25);1;Los Angeles Clippers;Utah Jazz;19 Jun 2021;131;119;2020-2021
11;Los Angeles Clippers - Utah Jazz;Pinnacle;+129;-143;Saturday, 19 Jun 2021, 02:00;Final result 131:119 (31:33, 19:39, 41:22, 40:25);1;Los Angeles Clippers;Utah Jazz;19 Jun 2021;131;119;2020-2021
12;Los Angeles Clippers - Utah Jazz;Unibet;+120;-143;Saturday, 19 Jun 2021, 02:00;Final result 131:119 (31:33, 19:39, 41:22, 40:25);1;Los Angeles Clippers;Utah Jazz;19 Jun 2021;131;119;2020-2021
13;Los Angeles Clippers - Utah Jazz;William Hill;+125;-147;Saturday, 19 Jun 2021, 02:00;Final result 131:119 (31:33, 19:39, 41:22, 40:25);1;Los Angeles Clippers;Utah Jazz;19 Jun 2021;131;119;2020-2021
29;Philadelphia 76ers - Orlando Magic;10x10bet;-256;+200;Sunday, 16 May 2021, 23:00;Final result 128:117 (32:26, 28:39, 39:25, 29:27);1;Philadelphia 76ers;Orlando Magic;16 May 2021;128;117;2020-2021
30;Philadelphia 76ers - Orlando Magic;1xBet;-222;+206;Sunday, 16 May 2021, 23:00;Final result 128:117 (32:26, 28:39, 39:25, 29:27);1;Philadelphia 76ers;Orlando Magic;16 May 2021;128;117;2020-2021
31;Philadelphia 76ers - Orlando Magic;bet-at-home;-278;+210;Sunday, 16 May 2021, 23:00;Final result 128:117 (32:26, 28:39, 39:25, 29:27);1;Philadelphia 76ers;Orlando Magic;16 May 2021;128;117;2020-2021
32;Philadelphia 76ers - Orlando Magic;bet365;-244;+200;Sunday, 16 May 2021, 23:00;Final result 128:117 (32:26, 28:39, 39:25, 29:27);1;Philadelphia 76ers;Orlando Magic;16 May 2021;128;117;2020-2021
33;Philadelphia 76ers - Orlando Magic;bwin;-238;+190;Sunday, 16 May 2021, 23:00;Final result 128:117 (32:26, 28:39, 39:25, 29:27);1;Philadelphia 76ers;Orlando Magic;16 May 2021;128;117;2020-2021
34;Philadelphia 76ers - Orlando Magic;Coolbet;-263;+223;Sunday, 16 May 2021, 23:00;Final result 128:117 (32:26, 28:39, 39:25, 29:27);1;Philadelphia 76ers;Orlando Magic;16 May 2021;128;117;2020-2021
35;Philadelphia 76ers - Orlando Magic;Curebet;-250;+204;Sunday, 16 May 2021, 23:00;Final result 128:117 (32:26, 28:39, 39:25, 29:27);1;Philadelphia 76ers;Orlando Magic;16 May 2021;128;117;2020-2021
36;Philadelphia 76ers - Orlando Magic;GGBET;-244;+193;Sunday, 16 May 2021, 23:00;Final result 128:117 (32:26, 28:39, 39:25, 29:27);1;Philadelphia 76ers;Orlando Magic;16 May 2021;128;117;2020-2021
37;Philadelphia 76ers - Orlando Magic;Lasbet;-244;+212;Sunday, 16 May 2021, 23:00;Final result 128:117 (32:26, 28:39, 39:25, 29:27);1;Philadelphia 76ers;Orlando Magic;16 May 2021;128;117;2020-2021
38;Philadelphia 76ers - Orlando Magic;Marathonbet;-244;+216;Sunday, 16 May 2021, 23:00;Final result 128:117 (32:26, 28:39, 39:25, 29:27);1;Philadelphia 76ers;Orlando Magic;16 May 2021;128;117;2020-2021
39;Philadelphia 76ers - Orlando Magic;Parimatch;-286;+215;Sunday, 16 May 2021, 23:00;Final result 128:117 (32:26, 28:39, 39:25, 29:27);1;Philadelphia 76ers;Orlando Magic;16 May 2021;128;117;2020-2021
40;Philadelphia 76ers - Orlando Magic;Pinnacle;-256;+225;Sunday, 16 May 2021, 23:00;Final result 128:117 (32:26, 28:39, 39:25, 29:27);1;Philadelphia 76ers;Orlando Magic;16 May 2021;128;117;2020-2021
41;Philadelphia 76ers - Orlando Magic;Unibet;-250;+204;Sunday, 16 May 2021, 23:00;Final result 128:117 (32:26, 28:39, 39:25, 29:27);1;Philadelphia 76ers;Orlando Magic;16 May 2021;128;117;2020-2021
42;Philadelphia 76ers - Orlando Magic;William Hill;-250;+210;Sunday, 16 May 2021, 23:00;Final result 128:117 (32:26, 28:39, 39:25, 29:27);1;Philadelphia 76ers;Orlando Magic;16 May 2021;128;117;2020-2021
58;Los Angeles Lakers - Houston Rockets;10x10bet;-526;+375;Thursday, 13 May 2021, 02:30;Final result 124:122 (34:26, 25:27, 41:43, 24:26);1;Los Angeles Lakers;Houston Rockets;13 May 2021;124;122;2020-2021
