index;TeamsRaw;Bookmaker;OddHome;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
29;Brooklyn Nets - Boston Celtics;10x10bet;-127;+102;Monday, 25 Apr 2022, 23:00;Final result 112:116 (26:30, 24:28, 28:32, 34:26);1;Brooklyn Nets;Boston Celtics;25 Apr 2022;112;116;CurrentSeason
30;Brooklyn Nets - Boston Celtics;1xBet;-112;+106;Monday, 25 Apr 2022, 23:00;Final result 112:116 (26:30, 24:28, 28:32, 34:26);1;Brooklyn Nets;Boston Celtics;25 Apr 2022;112;116;CurrentSeason
31;Brooklyn Nets - Boston Celtics;bet-at-home;-122;+100;Monday, 25 Apr 2022, 23:00;Final result 112:116 (26:30, 24:28, 28:32, 34:26);1;Brooklyn Nets;Boston Celtics;25 Apr 2022;112;116;CurrentSeason
32;Brooklyn Nets - Boston Celtics;bet365;-120;+100;Monday, 25 Apr 2022, 23:00;Final result 112:116 (26:30, 24:28, 28:32, 34:26);1;Brooklyn Nets;Boston Celtics;25 Apr 2022;112;116;CurrentSeason
33;Brooklyn Nets - Boston Celtics;BetFinal;-114;+112;Monday, 25 Apr 2022, 23:00;Final result 112:116 (26:30, 24:28, 28:32, 34:26);1;Brooklyn Nets;Boston Celtics;25 Apr 2022;112;116;CurrentSeason
34;Brooklyn Nets - Boston Celtics;bwin;-125;+104;Monday, 25 Apr 2022, 23:00;Final result 112:116 (26:30, 24:28, 28:32, 34:26);1;Brooklyn Nets;Boston Celtics;25 Apr 2022;112;116;CurrentSeason
35;Brooklyn Nets - Boston Celtics;Coolbet;-120;+102;Monday, 25 Apr 2022, 23:00;Final result 112:116 (26:30, 24:28, 28:32, 34:26);1;Brooklyn Nets;Boston Celtics;25 Apr 2022;112;116;CurrentSeason
36;Brooklyn Nets - Boston Celtics;Curebet;-123;+104;Monday, 25 Apr 2022, 23:00;Final result 112:116 (26:30, 24:28, 28:32, 34:26);1;Brooklyn Nets;Boston Celtics;25 Apr 2022;112;116;CurrentSeason
37;Brooklyn Nets - Boston Celtics;Ditobet;-119;+110;Monday, 25 Apr 2022, 23:00;Final result 112:116 (26:30, 24:28, 28:32, 34:26);1;Brooklyn Nets;Boston Celtics;25 Apr 2022;112;116;CurrentSeason
38;Brooklyn Nets - Boston Celtics;GGBET;-118;-101;Monday, 25 Apr 2022, 23:00;Final result 112:116 (26:30, 24:28, 28:32, 34:26);1;Brooklyn Nets;Boston Celtics;25 Apr 2022;112;116;CurrentSeason
39;Brooklyn Nets - Boston Celtics;Lasbet;-120;+106;Monday, 25 Apr 2022, 23:00;Final result 112:116 (26:30, 24:28, 28:32, 34:26);1;Brooklyn Nets;Boston Celtics;25 Apr 2022;112;116;CurrentSeason
40;Brooklyn Nets - Boston Celtics;Marathonbet;-111;+110;Monday, 25 Apr 2022, 23:00;Final result 112:116 (26:30, 24:28, 28:32, 34:26);1;Brooklyn Nets;Boston Celtics;25 Apr 2022;112;116;CurrentSeason
41;Brooklyn Nets - Boston Celtics;N1 Bet;-120;+102;Monday, 25 Apr 2022, 23:00;Final result 112:116 (26:30, 24:28, 28:32, 34:26);1;Brooklyn Nets;Boston Celtics;25 Apr 2022;112;116;CurrentSeason
