index;TeamsRaw;Bookmaker;OddHome;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
0;Chicago Bulls - Boston Celtics;1xBet;+106;-114;Sunday, 23 Apr 2017, 22:30;Final result 95:104 (18:30, 28:27, 24:22, 25:25);1;Chicago Bulls;Boston Celtics;23 Apr 2017; 95;104;2016-2017
1;Chicago Bulls - Boston Celtics;bet-at-home;-102;-125;Sunday, 23 Apr 2017, 22:30;Final result 95:104 (18:30, 28:27, 24:22, 25:25);1;Chicago Bulls;Boston Celtics;23 Apr 2017; 95;104;2016-2017
2;Chicago Bulls - Boston Celtics;bet365;+100;-120;Sunday, 23 Apr 2017, 22:30;Final result 95:104 (18:30, 28:27, 24:22, 25:25);1;Chicago Bulls;Boston Celtics;23 Apr 2017; 95;104;2016-2017
3;Chicago Bulls - Boston Celtics;bwin;+110;-133;Sunday, 23 Apr 2017, 22:30;Final result 95:104 (18:30, 28:27, 24:22, 25:25);1;Chicago Bulls;Boston Celtics;23 Apr 2017; 95;104;2016-2017
4;Chicago Bulls - Boston Celtics;Coolbet;+104;-118;Sunday, 23 Apr 2017, 22:30;Final result 95:104 (18:30, 28:27, 24:22, 25:25);1;Chicago Bulls;Boston Celtics;23 Apr 2017; 95;104;2016-2017
5;Chicago Bulls - Boston Celtics;Marathonbet;+106;-116;Sunday, 23 Apr 2017, 22:30;Final result 95:104 (18:30, 28:27, 24:22, 25:25);1;Chicago Bulls;Boston Celtics;23 Apr 2017; 95;104;2016-2017
6;Chicago Bulls - Boston Celtics;Pinnacle;+102;-114;Sunday, 23 Apr 2017, 22:30;Final result 95:104 (18:30, 28:27, 24:22, 25:25);1;Chicago Bulls;Boston Celtics;23 Apr 2017; 95;104;2016-2017
7;Chicago Bulls - Boston Celtics;Unibet;+100;-118;Sunday, 23 Apr 2017, 22:30;Final result 95:104 (18:30, 28:27, 24:22, 25:25);1;Chicago Bulls;Boston Celtics;23 Apr 2017; 95;104;2016-2017
8;Chicago Bulls - Boston Celtics;William Hill;+104;-125;Sunday, 23 Apr 2017, 22:30;Final result 95:104 (18:30, 28:27, 24:22, 25:25);1;Chicago Bulls;Boston Celtics;23 Apr 2017; 95;104;2016-2017
29;New York Knicks - Chicago Bulls;1xBet;+169;-182;Wednesday, 05 Apr 2017, 00:00;Final result 100:91 (29:24, 25:16, 26:24, 20:27);1;New York Knicks;Chicago Bulls;05 Apr 2017;100;91 ;2016-2017
30;New York Knicks - Chicago Bulls;bet-at-home;+156;-204;Wednesday, 05 Apr 2017, 00:00;Final result 100:91 (29:24, 25:16, 26:24, 20:27);1;New York Knicks;Chicago Bulls;05 Apr 2017;100;91 ;2016-2017
31;New York Knicks - Chicago Bulls;bet365;+175;-213;Wednesday, 05 Apr 2017, 00:00;Final result 100:91 (29:24, 25:16, 26:24, 20:27);1;New York Knicks;Chicago Bulls;05 Apr 2017;100;91 ;2016-2017
32;New York Knicks - Chicago Bulls;bwin;+154;-189;Wednesday, 05 Apr 2017, 00:00;Final result 100:91 (29:24, 25:16, 26:24, 20:27);1;New York Knicks;Chicago Bulls;05 Apr 2017;100;91 ;2016-2017
33;New York Knicks - Chicago Bulls;Coolbet;+165;-196;Wednesday, 05 Apr 2017, 00:00;Final result 100:91 (29:24, 25:16, 26:24, 20:27);1;New York Knicks;Chicago Bulls;05 Apr 2017;100;91 ;2016-2017
34;New York Knicks - Chicago Bulls;Marathonbet;+173;-189;Wednesday, 05 Apr 2017, 00:00;Final result 100:91 (29:24, 25:16, 26:24, 20:27);1;New York Knicks;Chicago Bulls;05 Apr 2017;100;91 ;2016-2017
35;New York Knicks - Chicago Bulls;Pinnacle;+173;-192;Wednesday, 05 Apr 2017, 00:00;Final result 100:91 (29:24, 25:16, 26:24, 20:27);1;New York Knicks;Chicago Bulls;05 Apr 2017;100;91 ;2016-2017
36;New York Knicks - Chicago Bulls;Unibet;+150;-179;Wednesday, 05 Apr 2017, 00:00;Final result 100:91 (29:24, 25:16, 26:24, 20:27);1;New York Knicks;Chicago Bulls;05 Apr 2017;100;91 ;2016-2017
37;New York Knicks - Chicago Bulls;William Hill;+170;-200;Wednesday, 05 Apr 2017, 00:00;Final result 100:91 (29:24, 25:16, 26:24, 20:27);1;New York Knicks;Chicago Bulls;05 Apr 2017;100;91 ;2016-2017
58;Miami Heat - New York Knicks;1xBet;-556;+484;Saturday, 01 Apr 2017, 00:00;Final result 94:98 (29:33, 26:26, 20:18, 19:21);1;Miami Heat;New York Knicks;01 Apr 2017; 94;98 ;2016-2017
59;Miami Heat - New York Knicks;bet365;-714;+500;Saturday, 01 Apr 2017, 00:00;Final result 94:98 (29:33, 26:26, 20:18, 19:21);1;Miami Heat;New York Knicks;01 Apr 2017; 94;98 ;2016-2017
60;Miami Heat - New York Knicks;bwin;-769;+525;Saturday, 01 Apr 2017, 00:00;Final result 94:98 (29:33, 26:26, 20:18, 19:21);1;Miami Heat;New York Knicks;01 Apr 2017; 94;98 ;2016-2017
61;Miami Heat - New York Knicks;Marathonbet;-588;+500;Saturday, 01 Apr 2017, 00:00;Final result 94:98 (29:33, 26:26, 20:18, 19:21);1;Miami Heat;New York Knicks;01 Apr 2017; 94;98 ;2016-2017
62;Miami Heat - New York Knicks;Pinnacle;-588;+498;Saturday, 01 Apr 2017, 00:00;Final result 94:98 (29:33, 26:26, 20:18, 19:21);1;Miami Heat;New York Knicks;01 Apr 2017; 94;98 ;2016-2017
63;Miami Heat - New York Knicks;Unibet;-625;+459;Saturday, 01 Apr 2017, 00:00;Final result 94:98 (29:33, 26:26, 20:18, 19:21);1;Miami Heat;New York Knicks;01 Apr 2017; 94;98 ;2016-2017
64;Miami Heat - New York Knicks;William Hill;-714;+500;Saturday, 01 Apr 2017, 00:00;Final result 94:98 (29:33, 26:26, 20:18, 19:21);1;Miami Heat;New York Knicks;01 Apr 2017; 94;98 ;2016-2017
87;New Orleans Pelicans - Sacramento Kings;1xBet;-714;+600;Saturday, 01 Apr 2017, 00:00;Final result 117:89 (32:19, 26:19, 26:26, 33:25);1;New Orleans Pelicans;Sacramento Kings;01 Apr 2017;117;89 ;2016-2017
88;New Orleans Pelicans - Sacramento Kings;bet-at-home;-1000;+545;Saturday, 01 Apr 2017, 00:00;Final result 117:89 (32:19, 26:19, 26:26, 33:25);1;New Orleans Pelicans;Sacramento Kings;01 Apr 2017;117;89 ;2016-2017
89;New Orleans Pelicans - Sacramento Kings;bet365;-833;+550;Saturday, 01 Apr 2017, 00:00;Final result 117:89 (32:19, 26:19, 26:26, 33:25);1;New Orleans Pelicans;Sacramento Kings;01 Apr 2017;117;89 ;2016-2017
