index;TeamsRaw;Bookmaker;OddHome;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
0;Cleveland Cavaliers - Golden State Warriors;1xBet;+140;-147;Saturday, 09 Jun 2018, 01:00;Final result 85:108 (25:34, 27:27, 13:25, 20:22);1;Cleveland Cavaliers;Golden State Warriors;09 Jun 2018; 85;108;2017-2018
1;Cleveland Cavaliers - Golden State Warriors;bet-at-home;+137;-175;Saturday, 09 Jun 2018, 01:00;Final result 85:108 (25:34, 27:27, 13:25, 20:22);1;Cleveland Cavaliers;Golden State Warriors;09 Jun 2018; 85;108;2017-2018
2;Cleveland Cavaliers - Golden State Warriors;bet365;+150;-172;Saturday, 09 Jun 2018, 01:00;Final result 85:108 (25:34, 27:27, 13:25, 20:22);1;Cleveland Cavaliers;Golden State Warriors;09 Jun 2018; 85;108;2017-2018
3;Cleveland Cavaliers - Golden State Warriors;bwin;+145;-175;Saturday, 09 Jun 2018, 01:00;Final result 85:108 (25:34, 27:27, 13:25, 20:22);1;Cleveland Cavaliers;Golden State Warriors;09 Jun 2018; 85;108;2017-2018
4;Cleveland Cavaliers - Golden State Warriors;Coolbet;+143;-156;Saturday, 09 Jun 2018, 01:00;Final result 85:108 (25:34, 27:27, 13:25, 20:22);1;Cleveland Cavaliers;Golden State Warriors;09 Jun 2018; 85;108;2017-2018
5;Cleveland Cavaliers - Golden State Warriors;Marathonbet;+143;-152;Saturday, 09 Jun 2018, 01:00;Final result 85:108 (25:34, 27:27, 13:25, 20:22);1;Cleveland Cavaliers;Golden State Warriors;09 Jun 2018; 85;108;2017-2018
6;Cleveland Cavaliers - Golden State Warriors;Pinnacle;+142;-156;Saturday, 09 Jun 2018, 01:00;Final result 85:108 (25:34, 27:27, 13:25, 20:22);1;Cleveland Cavaliers;Golden State Warriors;09 Jun 2018; 85;108;2017-2018
7;Cleveland Cavaliers - Golden State Warriors;Unibet;+143;-167;Saturday, 09 Jun 2018, 01:00;Final result 85:108 (25:34, 27:27, 13:25, 20:22);1;Cleveland Cavaliers;Golden State Warriors;09 Jun 2018; 85;108;2017-2018
8;Cleveland Cavaliers - Golden State Warriors;William Hill;+150;-169;Saturday, 09 Jun 2018, 01:00;Final result 85:108 (25:34, 27:27, 13:25, 20:22);1;Cleveland Cavaliers;Golden State Warriors;09 Jun 2018; 85;108;2017-2018
29;Utah Jazz - Oklahoma City Thunder;1xBet;-185;+172;Tuesday, 24 Apr 2018, 02:30;Final result 113:96 (24:30, 34:22, 32:21, 23:23);1;Utah Jazz;Oklahoma City Thunder;24 Apr 2018;113;96 ;2017-2018
