index;TeamsRaw;Bookmaker;OddHome;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
0;Golden State Warriors - Cleveland Cavaliers;bet-at-home;-213;+163;Monday, 20 Jun 2016, 00:00;Final result 89:93 (22:23, 27:19, 27:33, 13:18);1;Golden State Warriors;Cleveland Cavaliers;20 Jun 2016; 89;93 ;2015-2016
1;Golden State Warriors - Cleveland Cavaliers;bet365;-182;+160;Monday, 20 Jun 2016, 00:00;Final result 89:93 (22:23, 27:19, 27:33, 13:18);1;Golden State Warriors;Cleveland Cavaliers;20 Jun 2016; 89;93 ;2015-2016
2;Golden State Warriors - Cleveland Cavaliers;bwin;-196;+160;Monday, 20 Jun 2016, 00:00;Final result 89:93 (22:23, 27:19, 27:33, 13:18);1;Golden State Warriors;Cleveland Cavaliers;20 Jun 2016; 89;93 ;2015-2016
3;Golden State Warriors - Cleveland Cavaliers;Marathonbet;-189;+175;Monday, 20 Jun 2016, 00:00;Final result 89:93 (22:23, 27:19, 27:33, 13:18);1;Golden State Warriors;Cleveland Cavaliers;20 Jun 2016; 89;93 ;2015-2016
4;Golden State Warriors - Cleveland Cavaliers;Pinnacle;-196;+165;Monday, 20 Jun 2016, 00:00;Final result 89:93 (22:23, 27:19, 27:33, 13:18);1;Golden State Warriors;Cleveland Cavaliers;20 Jun 2016; 89;93 ;2015-2016
5;Golden State Warriors - Cleveland Cavaliers;Unibet;-189;+154;Monday, 20 Jun 2016, 00:00;Final result 89:93 (22:23, 27:19, 27:33, 13:18);1;Golden State Warriors;Cleveland Cavaliers;20 Jun 2016; 89;93 ;2015-2016
6;Golden State Warriors - Cleveland Cavaliers;William Hill;-189;+165;Monday, 20 Jun 2016, 00:00;Final result 89:93 (22:23, 27:19, 27:33, 13:18);1;Golden State Warriors;Cleveland Cavaliers;20 Jun 2016; 89;93 ;2015-2016
58;Indiana Pacers - Cleveland Cavaliers;1xBet;-147;+137;Wednesday, 06 Apr 2016, 23:00;Final result 123:109 (36:33, 34:28, 26:21, 27:27);1;Indiana Pacers;Cleveland Cavaliers;06 Apr 2016;123;109;2015-2016
59;Indiana Pacers - Cleveland Cavaliers;bet-at-home;-175;+137;Wednesday, 06 Apr 2016, 23:00;Final result 123:109 (36:33, 34:28, 26:21, 27:27);1;Indiana Pacers;Cleveland Cavaliers;06 Apr 2016;123;109;2015-2016
60;Indiana Pacers - Cleveland Cavaliers;bet365;-167;+145;Wednesday, 06 Apr 2016, 23:00;Final result 123:109 (36:33, 34:28, 26:21, 27:27);1;Indiana Pacers;Cleveland Cavaliers;06 Apr 2016;123;109;2015-2016
