index;TeamsRaw;Bookmaker;OddHome;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
0;Houston Rockets - Portland Trail Blazers;bet-at-home;-250;+185;Monday, 21 Apr 2014, 01:30;Final result 120:122 OT (106:106) (20:27, 29:21, 30:25, 27:33, 14:16);1;Houston Rockets;Portland Trail Blazers;21 Apr 2014;120;122;2013-2014
1;Houston Rockets - Portland Trail Blazers;bet365;-238;+195;Monday, 21 Apr 2014, 01:30;Final result 120:122 OT (106:106) (20:27, 29:21, 30:25, 27:33, 14:16);1;Houston Rockets;Portland Trail Blazers;21 Apr 2014;120;122;2013-2014
2;Houston Rockets - Portland Trail Blazers;bwin;-233;+190;Monday, 21 Apr 2014, 01:30;Final result 120:122 OT (106:106) (20:27, 29:21, 30:25, 27:33, 14:16);1;Houston Rockets;Portland Trail Blazers;21 Apr 2014;120;122;2013-2014
3;Houston Rockets - Portland Trail Blazers;Marathonbet;-217;+198;Monday, 21 Apr 2014, 01:30;Final result 120:122 OT (106:106) (20:27, 29:21, 30:25, 27:33, 14:16);1;Houston Rockets;Portland Trail Blazers;21 Apr 2014;120;122;2013-2014
4;Houston Rockets - Portland Trail Blazers;Pinnacle;-233;+204;Monday, 21 Apr 2014, 01:30;Final result 120:122 OT (106:106) (20:27, 29:21, 30:25, 27:33, 14:16);1;Houston Rockets;Portland Trail Blazers;21 Apr 2014;120;122;2013-2014
5;Houston Rockets - Portland Trail Blazers;Unibet;-233;+185;Monday, 21 Apr 2014, 01:30;Final result 120:122 OT (106:106) (20:27, 29:21, 30:25, 27:33, 14:16);1;Houston Rockets;Portland Trail Blazers;21 Apr 2014;120;122;2013-2014
6;Houston Rockets - Portland Trail Blazers;William Hill;-238;+200;Monday, 21 Apr 2014, 01:30;Final result 120:122 OT (106:106) (20:27, 29:21, 30:25, 27:33, 14:16);1;Houston Rockets;Portland Trail Blazers;21 Apr 2014;120;122;2013-2014
29;Milwaukee Bucks - Atlanta Hawks;bet-at-home;-167;+125;Thursday, 17 Apr 2014, 00:00;Final result 103:111 (39:29, 24:29, 20:24, 20:29);1;Milwaukee Bucks;Atlanta Hawks;17 Apr 2014;103;111;2013-2014
30;Milwaukee Bucks - Atlanta Hawks;bet365;-156;+135;Thursday, 17 Apr 2014, 00:00;Final result 103:111 (39:29, 24:29, 20:24, 20:29);1;Milwaukee Bucks;Atlanta Hawks;17 Apr 2014;103;111;2013-2014
31;Milwaukee Bucks - Atlanta Hawks;bwin;-154;+129;Thursday, 17 Apr 2014, 00:00;Final result 103:111 (39:29, 24:29, 20:24, 20:29);1;Milwaukee Bucks;Atlanta Hawks;17 Apr 2014;103;111;2013-2014
32;Milwaukee Bucks - Atlanta Hawks;Marathonbet;-147;+135;Thursday, 17 Apr 2014, 00:00;Final result 103:111 (39:29, 24:29, 20:24, 20:29);1;Milwaukee Bucks;Atlanta Hawks;17 Apr 2014;103;111;2013-2014
33;Milwaukee Bucks - Atlanta Hawks;Pinnacle;-147;+133;Thursday, 17 Apr 2014, 00:00;Final result 103:111 (39:29, 24:29, 20:24, 20:29);1;Milwaukee Bucks;Atlanta Hawks;17 Apr 2014;103;111;2013-2014
34;Milwaukee Bucks - Atlanta Hawks;Unibet;-167;+135;Thursday, 17 Apr 2014, 00:00;Final result 103:111 (39:29, 24:29, 20:24, 20:29);1;Milwaukee Bucks;Atlanta Hawks;17 Apr 2014;103;111;2013-2014
35;Milwaukee Bucks - Atlanta Hawks;William Hill;-164;+145;Thursday, 17 Apr 2014, 00:00;Final result 103:111 (39:29, 24:29, 20:24, 20:29);1;Milwaukee Bucks;Atlanta Hawks;17 Apr 2014;103;111;2013-2014
58;Los Angeles Lakers - Golden State Warriors;bet-at-home;+359;-526;Saturday, 12 Apr 2014, 02:30;Final result 95:112 (26:26, 17:32, 26:25, 26:29);1;Los Angeles Lakers;Golden State Warriors;12 Apr 2014; 95;112;2013-2014
59;Los Angeles Lakers - Golden State Warriors;bet365;+475;-667;Saturday, 12 Apr 2014, 02:30;Final result 95:112 (26:26, 17:32, 26:25, 26:29);1;Los Angeles Lakers;Golden State Warriors;12 Apr 2014; 95;112;2013-2014
60;Los Angeles Lakers - Golden State Warriors;bwin;+400;-556;Saturday, 12 Apr 2014, 02:30;Final result 95:112 (26:26, 17:32, 26:25, 26:29);1;Los Angeles Lakers;Golden State Warriors;12 Apr 2014; 95;112;2013-2014
61;Los Angeles Lakers - Golden State Warriors;Marathonbet;+430;-500;Saturday, 12 Apr 2014, 02:30;Final result 95:112 (26:26, 17:32, 26:25, 26:29);1;Los Angeles Lakers;Golden State Warriors;12 Apr 2014; 95;112;2013-2014
62;Los Angeles Lakers - Golden State Warriors;Pinnacle;+430;-500;Saturday, 12 Apr 2014, 02:30;Final result 95:112 (26:26, 17:32, 26:25, 26:29);1;Los Angeles Lakers;Golden State Warriors;12 Apr 2014; 95;112;2013-2014
63;Los Angeles Lakers - Golden State Warriors;Unibet;+425;-588;Saturday, 12 Apr 2014, 02:30;Final result 95:112 (26:26, 17:32, 26:25, 26:29);1;Los Angeles Lakers;Golden State Warriors;12 Apr 2014; 95;112;2013-2014
