Home_id;Away_id;Bookmaker;OddHome;OddAway;Date;Score_home;Score_away;Season
Los Angeles Clippers;Utah Jazz;10x10bet;+131;-164;19 Jun 2021;131;119;2020-2021
Los Angeles Clippers;Utah Jazz;1xBet;+134;-143;19 Jun 2021;131;119;2020-2021
Los Angeles Clippers;Utah Jazz;bet-at-home;+123;-156;19 Jun 2021;131;119;2020-2021
Los Angeles Clippers;Utah Jazz;bet365;+129;-152;19 Jun 2021;131;119;2020-2021
Los Angeles Clippers;Utah Jazz;bwin;+125;-149;19 Jun 2021;131;119;2020-2021
Los Angeles Clippers;Utah Jazz;Coolbet;+131;-152;19 Jun 2021;131;119;2020-2021
Los Angeles Clippers;Utah Jazz;Curebet;+129;-154;19 Jun 2021;131;119;2020-2021
Los Angeles Clippers;Utah Jazz;GGBET;-185;+150;19 Jun 2021;131;119;2020-2021
Los Angeles Clippers;Utah Jazz;Lasbet;+133;-152;19 Jun 2021;131;119;2020-2021
Los Angeles Clippers;Utah Jazz;Marathonbet;+129;-145;19 Jun 2021;131;119;2020-2021
Los Angeles Clippers;Utah Jazz;Parimatch;+114;-143;19 Jun 2021;131;119;2020-2021
Los Angeles Clippers;Utah Jazz;Pinnacle;+129;-143;19 Jun 2021;131;119;2020-2021
Los Angeles Clippers;Utah Jazz;Unibet;+120;-143;19 Jun 2021;131;119;2020-2021
Los Angeles Clippers;Utah Jazz;William Hill;+125;-147;19 Jun 2021;131;119;2020-2021
Philadelphia 76ers;Orlando Magic;10x10bet;-256;+200;16 May 2021;128;117;2020-2021
Philadelphia 76ers;Orlando Magic;1xBet;-222;+206;16 May 2021;128;117;2020-2021
Philadelphia 76ers;Orlando Magic;bet-at-home;-278;+210;16 May 2021;128;117;2020-2021
Philadelphia 76ers;Orlando Magic;bet365;-244;+200;16 May 2021;128;117;2020-2021
Philadelphia 76ers;Orlando Magic;bwin;-238;+190;16 May 2021;128;117;2020-2021
Philadelphia 76ers;Orlando Magic;Coolbet;-263;+223;16 May 2021;128;117;2020-2021
Philadelphia 76ers;Orlando Magic;Curebet;-250;+204;16 May 2021;128;117;2020-2021
Philadelphia 76ers;Orlando Magic;GGBET;-244;+193;16 May 2021;128;117;2020-2021
Philadelphia 76ers;Orlando Magic;Lasbet;-244;+212;16 May 2021;128;117;2020-2021
Philadelphia 76ers;Orlando Magic;Marathonbet;-244;+216;16 May 2021;128;117;2020-2021
Philadelphia 76ers;Orlando Magic;Parimatch;-286;+215;16 May 2021;128;117;2020-2021
Philadelphia 76ers;Orlando Magic;Pinnacle;-256;+225;16 May 2021;128;117;2020-2021
Philadelphia 76ers;Orlando Magic;Unibet;-250;+204;16 May 2021;128;117;2020-2021
Philadelphia 76ers;Orlando Magic;William Hill;-250;+210;16 May 2021;128;117;2020-2021
Los Angeles Lakers;Houston Rockets;10x10bet;-526;+375;13 May 2021;124;122;2020-2021
Los Angeles Lakers;Houston Rockets;1xBet;-455;+409;13 May 2021;124;122;2020-2021
Los Angeles Lakers;Houston Rockets;bet-at-home;-526;+350;13 May 2021;124;122;2020-2021
Los Angeles Lakers;Houston Rockets;bet365;-526;+400;13 May 2021;124;122;2020-2021
Los Angeles Lakers;Houston Rockets;bwin;-400;+309;13 May 2021;124;122;2020-2021
Los Angeles Lakers;Houston Rockets;Coolbet;-500;+399;13 May 2021;124;122;2020-2021
Los Angeles Lakers;Houston Rockets;Curebet;-500;+380;13 May 2021;124;122;2020-2021
Los Angeles Lakers;Houston Rockets;GGBET;-400;+300;13 May 2021;124;122;2020-2021
Los Angeles Lakers;Houston Rockets;Lasbet;-500;+409;13 May 2021;124;122;2020-2021
Los Angeles Lakers;Houston Rockets;Marathonbet;-417;+355;13 May 2021;124;122;2020-2021
Los Angeles Lakers;Houston Rockets;Parimatch;-370;+270;13 May 2021;124;122;2020-2021
Los Angeles Lakers;Houston Rockets;Pinnacle;-500;+409;13 May 2021;124;122;2020-2021
Los Angeles Lakers;Houston Rockets;Unibet;-500;+380;13 May 2021;124;122;2020-2021
Los Angeles Lakers;Houston Rockets;William Hill;-556;+425;13 May 2021;124;122;2020-2021
Dallas Mavericks;New Orleans Pelicans;10x10bet;-455;+334;13 May 2021;125;107;2020-2021
Dallas Mavericks;New Orleans Pelicans;1xBet;-455;+409;13 May 2021;125;107;2020-2021
Dallas Mavericks;New Orleans Pelicans;bet-at-home;-588;+390;13 May 2021;125;107;2020-2021
Dallas Mavericks;New Orleans Pelicans;bet365;-500;+375;13 May 2021;125;107;2020-2021
Dallas Mavericks;New Orleans Pelicans;bwin;-500;+359;13 May 2021;125;107;2020-2021
Dallas Mavericks;New Orleans Pelicans;Coolbet;-476;+376;13 May 2021;125;107;2020-2021
Dallas Mavericks;New Orleans Pelicans;Curebet;-455;+350;13 May 2021;125;107;2020-2021
Dallas Mavericks;New Orleans Pelicans;GGBET;-435;+322;13 May 2021;125;107;2020-2021
Dallas Mavericks;New Orleans Pelicans;Lasbet;-435;+359;13 May 2021;125;107;2020-2021
Dallas Mavericks;New Orleans Pelicans;Marathonbet;-455;+384;13 May 2021;125;107;2020-2021
Dallas Mavericks;New Orleans Pelicans;Parimatch;-556;+420;13 May 2021;125;107;2020-2021
Dallas Mavericks;New Orleans Pelicans;Pinnacle;-455;+371;13 May 2021;125;107;2020-2021
Dallas Mavericks;New Orleans Pelicans;Unibet;-455;+350;13 May 2021;125;107;2020-2021
Dallas Mavericks;New Orleans Pelicans;William Hill;-476;+380;13 May 2021;125;107;2020-2021
Cleveland Cavaliers;Boston Celtics;10x10bet;+190;-244;13 May 2021;102;94 ;2020-2021
Cleveland Cavaliers;Boston Celtics;1xBet;+206;-222;13 May 2021;102;94 ;2020-2021
Cleveland Cavaliers;Boston Celtics;bet-at-home;+200;-263;13 May 2021;102;94 ;2020-2021
Cleveland Cavaliers;Boston Celtics;bet365;+200;-244;13 May 2021;102;94 ;2020-2021
Cleveland Cavaliers;Boston Celtics;bwin;+195;-238;13 May 2021;102;94 ;2020-2021
Cleveland Cavaliers;Boston Celtics;Coolbet;+216;-256;13 May 2021;102;94 ;2020-2021
