Home_id;Away_id;Bookmaker;OddHome;OddAway;Date;Score_home;Score_away;Season
Golden State Warriors;Cleveland Cavaliers;bet-at-home;-213;+163;20 Jun 2016; 89;93 ;2015-2016
Golden State Warriors;Cleveland Cavaliers;bet365;-182;+160;20 Jun 2016; 89;93 ;2015-2016
Golden State Warriors;Cleveland Cavaliers;bwin;-196;+160;20 Jun 2016; 89;93 ;2015-2016
Golden State Warriors;Cleveland Cavaliers;Marathonbet;-189;+175;20 Jun 2016; 89;93 ;2015-2016
Golden State Warriors;Cleveland Cavaliers;Pinnacle;-196;+165;20 Jun 2016; 89;93 ;2015-2016
Golden State Warriors;Cleveland Cavaliers;Unibet;-189;+154;20 Jun 2016; 89;93 ;2015-2016
Golden State Warriors;Cleveland Cavaliers;William Hill;-189;+165;20 Jun 2016; 89;93 ;2015-2016
Indiana Pacers;Cleveland Cavaliers;1xBet;-147;+137;06 Apr 2016;123;109;2015-2016
Indiana Pacers;Cleveland Cavaliers;bet-at-home;-175;+137;06 Apr 2016;123;109;2015-2016
Indiana Pacers;Cleveland Cavaliers;bet365;-167;+145;06 Apr 2016;123;109;2015-2016
Indiana Pacers;Cleveland Cavaliers;bwin;-169;+140;06 Apr 2016;123;109;2015-2016
Indiana Pacers;Cleveland Cavaliers;Marathonbet;-156;+143;06 Apr 2016;123;109;2015-2016
Indiana Pacers;Cleveland Cavaliers;Pinnacle;-161;+146;06 Apr 2016;123;109;2015-2016
Indiana Pacers;Cleveland Cavaliers;Unibet;-164;+135;06 Apr 2016;123;109;2015-2016
Indiana Pacers;Cleveland Cavaliers;William Hill;-164;+145;06 Apr 2016;123;109;2015-2016
Memphis Grizzlies;Toronto Raptors;1xBet;+191;-213;02 Apr 2016; 95;99 ;2015-2016
Memphis Grizzlies;Toronto Raptors;bet-at-home;+179;-238;02 Apr 2016; 95;99 ;2015-2016
Memphis Grizzlies;Toronto Raptors;bet365;+185;-227;02 Apr 2016; 95;99 ;2015-2016
Memphis Grizzlies;Toronto Raptors;bwin;+185;-227;02 Apr 2016; 95;99 ;2015-2016
Memphis Grizzlies;Toronto Raptors;Marathonbet;+194;-213;02 Apr 2016; 95;99 ;2015-2016
Memphis Grizzlies;Toronto Raptors;Pinnacle;+193;-213;02 Apr 2016; 95;99 ;2015-2016
Memphis Grizzlies;Toronto Raptors;Unibet;+179;-222;02 Apr 2016; 95;99 ;2015-2016
Memphis Grizzlies;Toronto Raptors;William Hill;+190;-233;02 Apr 2016; 95;99 ;2015-2016
Detroit Pistons;Dallas Mavericks;1xBet;-204;+184;01 Apr 2016; 89;98 ;2015-2016
Detroit Pistons;Dallas Mavericks;bet-at-home;-244;+187;01 Apr 2016; 89;98 ;2015-2016
Detroit Pistons;Dallas Mavericks;bet365;-238;+195;01 Apr 2016; 89;98 ;2015-2016
Detroit Pistons;Dallas Mavericks;bwin;-250;+200;01 Apr 2016; 89;98 ;2015-2016
Detroit Pistons;Dallas Mavericks;Marathonbet;-204;+186;01 Apr 2016; 89;98 ;2015-2016
Detroit Pistons;Dallas Mavericks;Pinnacle;-213;+193;01 Apr 2016; 89;98 ;2015-2016
Detroit Pistons;Dallas Mavericks;Unibet;-244;+195;01 Apr 2016; 89;98 ;2015-2016
