Home_id;Away_id;Bookmaker;OddHome;OddAway;Date;Score_home;Score_away;Season
Chicago Bulls;Boston Celtics;1xBet;+106;-114;23 Apr 2017; 95;104;2016-2017
Chicago Bulls;Boston Celtics;bet-at-home;-102;-125;23 Apr 2017; 95;104;2016-2017
Chicago Bulls;Boston Celtics;bet365;+100;-120;23 Apr 2017; 95;104;2016-2017
Chicago Bulls;Boston Celtics;bwin;+110;-133;23 Apr 2017; 95;104;2016-2017
Chicago Bulls;Boston Celtics;Coolbet;+104;-118;23 Apr 2017; 95;104;2016-2017
Chicago Bulls;Boston Celtics;Marathonbet;+106;-116;23 Apr 2017; 95;104;2016-2017
Chicago Bulls;Boston Celtics;Pinnacle;+102;-114;23 Apr 2017; 95;104;2016-2017
Chicago Bulls;Boston Celtics;Unibet;+100;-118;23 Apr 2017; 95;104;2016-2017
Chicago Bulls;Boston Celtics;William Hill;+104;-125;23 Apr 2017; 95;104;2016-2017
New York Knicks;Chicago Bulls;1xBet;+169;-182;05 Apr 2017;100;91 ;2016-2017
New York Knicks;Chicago Bulls;bet-at-home;+156;-204;05 Apr 2017;100;91 ;2016-2017
New York Knicks;Chicago Bulls;bet365;+175;-213;05 Apr 2017;100;91 ;2016-2017
New York Knicks;Chicago Bulls;bwin;+154;-189;05 Apr 2017;100;91 ;2016-2017
New York Knicks;Chicago Bulls;Coolbet;+165;-196;05 Apr 2017;100;91 ;2016-2017
New York Knicks;Chicago Bulls;Marathonbet;+173;-189;05 Apr 2017;100;91 ;2016-2017
New York Knicks;Chicago Bulls;Pinnacle;+173;-192;05 Apr 2017;100;91 ;2016-2017
New York Knicks;Chicago Bulls;Unibet;+150;-179;05 Apr 2017;100;91 ;2016-2017
New York Knicks;Chicago Bulls;William Hill;+170;-200;05 Apr 2017;100;91 ;2016-2017
Miami Heat;New York Knicks;1xBet;-556;+484;01 Apr 2017; 94;98 ;2016-2017
Miami Heat;New York Knicks;bet365;-714;+500;01 Apr 2017; 94;98 ;2016-2017
Miami Heat;New York Knicks;bwin;-769;+525;01 Apr 2017; 94;98 ;2016-2017
Miami Heat;New York Knicks;Marathonbet;-588;+500;01 Apr 2017; 94;98 ;2016-2017
Miami Heat;New York Knicks;Pinnacle;-588;+498;01 Apr 2017; 94;98 ;2016-2017
Miami Heat;New York Knicks;Unibet;-625;+459;01 Apr 2017; 94;98 ;2016-2017
Miami Heat;New York Knicks;William Hill;-714;+500;01 Apr 2017; 94;98 ;2016-2017
New Orleans Pelicans;Sacramento Kings;1xBet;-714;+600;01 Apr 2017;117;89 ;2016-2017
New Orleans Pelicans;Sacramento Kings;bet-at-home;-1000;+545;01 Apr 2017;117;89 ;2016-2017
New Orleans Pelicans;Sacramento Kings;bet365;-833;+550;01 Apr 2017;117;89 ;2016-2017
New Orleans Pelicans;Sacramento Kings;bwin;-909;+575;01 Apr 2017;117;89 ;2016-2017
New Orleans Pelicans;Sacramento Kings;Marathonbet;-667;+550;01 Apr 2017;117;89 ;2016-2017
New Orleans Pelicans;Sacramento Kings;Pinnacle;-667;+552;01 Apr 2017;117;89 ;2016-2017
New Orleans Pelicans;Sacramento Kings;Unibet;-833;+600;01 Apr 2017;117;89 ;2016-2017
New Orleans Pelicans;Sacramento Kings;William Hill;-909;+600;01 Apr 2017;117;89 ;2016-2017
Boston Celtics;Orlando Magic;1xBet;-588;+484;31 Mar 2017;117;116;2016-2017
Boston Celtics;Orlando Magic;bet-at-home;-667;+425;31 Mar 2017;117;116;2016-2017
Boston Celtics;Orlando Magic;bet365;-667;+475;31 Mar 2017;117;116;2016-2017
Boston Celtics;Orlando Magic;bwin;-714;+500;31 Mar 2017;117;116;2016-2017
Boston Celtics;Orlando Magic;Marathonbet;-588;+500;31 Mar 2017;117;116;2016-2017
Boston Celtics;Orlando Magic;Pinnacle;-588;+500;31 Mar 2017;117;116;2016-2017
Boston Celtics;Orlando Magic;Unibet;-556;+430;31 Mar 2017;117;116;2016-2017
Boston Celtics;Orlando Magic;William Hill;-667;+450;31 Mar 2017;117;116;2016-2017
Charlotte Hornets;Denver Nuggets;1xBet;-123;+116;31 Mar 2017;122;114;2016-2017
Charlotte Hornets;Denver Nuggets;bet-at-home;-143;+112;31 Mar 2017;122;114;2016-2017
