Home_id;Away_id;Bookmaker;OddHome;OddAway;Date;Score_home;Score_away;Season
Golden State Warriors;Cleveland Cavaliers;bet-at-home;-526;+359;15 Jun 2015;104;91 ;2014-2015
Golden State Warriors;Cleveland Cavaliers;bet365;-500;+375;15 Jun 2015;104;91 ;2014-2015
Golden State Warriors;Cleveland Cavaliers;bwin;-417;+370;15 Jun 2015;104;91 ;2014-2015
Golden State Warriors;Cleveland Cavaliers;Marathonbet;-370;+340;15 Jun 2015;104;91 ;2014-2015
Golden State Warriors;Cleveland Cavaliers;Pinnacle;-455;+390;15 Jun 2015;104;91 ;2014-2015
Golden State Warriors;Cleveland Cavaliers;Unibet;-476;+380;15 Jun 2015;104;91 ;2014-2015
Golden State Warriors;Cleveland Cavaliers;William Hill;-500;+350;15 Jun 2015;104;91 ;2014-2015
Chicago Bulls;Cleveland Cavaliers;bet-at-home;-137;+106;15 May 2015; 73;94 ;2014-2015
Chicago Bulls;Cleveland Cavaliers;bet365;-141;+120;15 May 2015; 73;94 ;2014-2015
Chicago Bulls;Cleveland Cavaliers;bwin;-125;+114;15 May 2015; 73;94 ;2014-2015
Chicago Bulls;Cleveland Cavaliers;Marathonbet;-133;+123;15 May 2015; 73;94 ;2014-2015
Chicago Bulls;Cleveland Cavaliers;Pinnacle;-135;+122;15 May 2015; 73;94 ;2014-2015
Chicago Bulls;Cleveland Cavaliers;Unibet;-135;+114;15 May 2015; 73;94 ;2014-2015
Chicago Bulls;Cleveland Cavaliers;William Hill;-141;+120;15 May 2015; 73;94 ;2014-2015
Cleveland Cavaliers;Boston Celtics;bet-at-home;-1000;+555;19 Apr 2015;113;100;2014-2015
Cleveland Cavaliers;Boston Celtics;bet365;-1000;+650;19 Apr 2015;113;100;2014-2015
Cleveland Cavaliers;Boston Celtics;bwin;-1000;+650;19 Apr 2015;113;100;2014-2015
Cleveland Cavaliers;Boston Celtics;Marathonbet;-909;+740;19 Apr 2015;113;100;2014-2015
Cleveland Cavaliers;Boston Celtics;Pinnacle;-909;+726;19 Apr 2015;113;100;2014-2015
Cleveland Cavaliers;Boston Celtics;Unibet;-1111;+700;19 Apr 2015;113;100;2014-2015
Cleveland Cavaliers;Boston Celtics;William Hill;-1000;+650;19 Apr 2015;113;100;2014-2015
Chicago Bulls;Milwaukee Bucks;bet-at-home;-370;+269;18 Apr 2015;103;91 ;2014-2015
Chicago Bulls;Milwaukee Bucks;bet365;-435;+325;18 Apr 2015;103;91 ;2014-2015
Chicago Bulls;Milwaukee Bucks;bwin;-400;+309;18 Apr 2015;103;91 ;2014-2015
Chicago Bulls;Milwaukee Bucks;Marathonbet;-435;+380;18 Apr 2015;103;91 ;2014-2015
Chicago Bulls;Milwaukee Bucks;Pinnacle;-400;+342;18 Apr 2015;103;91 ;2014-2015
Chicago Bulls;Milwaukee Bucks;Unibet;-385;+300;18 Apr 2015;103;91 ;2014-2015
Chicago Bulls;Milwaukee Bucks;William Hill;-400;+300;18 Apr 2015;103;91 ;2014-2015
Houston Rockets;San Antonio Spurs;bet-at-home;+135;-172;11 Apr 2015;103;104;2014-2015
Houston Rockets;San Antonio Spurs;bet365;+140;-161;11 Apr 2015;103;104;2014-2015
Houston Rockets;San Antonio Spurs;bwin;+140;-167;11 Apr 2015;103;104;2014-2015
Houston Rockets;San Antonio Spurs;Marathonbet;+144;-156;11 Apr 2015;103;104;2014-2015
Houston Rockets;San Antonio Spurs;Pinnacle;+146;-161;11 Apr 2015;103;104;2014-2015
Houston Rockets;San Antonio Spurs;Unibet;+145;-175;11 Apr 2015;103;104;2014-2015
Houston Rockets;San Antonio Spurs;William Hill;+145;-164;11 Apr 2015;103;104;2014-2015
Oklahoma City Thunder;Sacramento Kings;bet-at-home;-1667;+771;11 Apr 2015;116;103;2014-2015
Oklahoma City Thunder;Sacramento Kings;bet365;-2000;+1000;11 Apr 2015;116;103;2014-2015
Oklahoma City Thunder;Sacramento Kings;bwin;-1667;+900;11 Apr 2015;116;103;2014-2015
Oklahoma City Thunder;Sacramento Kings;Marathonbet;-1111;+869;11 Apr 2015;116;103;2014-2015
Oklahoma City Thunder;Sacramento Kings;Pinnacle;-1667;+1075;11 Apr 2015;116;103;2014-2015
Oklahoma City Thunder;Sacramento Kings;Unibet;-1250;+850;11 Apr 2015;116;103;2014-2015
Oklahoma City Thunder;Sacramento Kings;William Hill;-1667;+900;11 Apr 2015;116;103;2014-2015
Atlanta Hawks;New York Knicks;bet-at-home;-3333;+1010;13 Apr 2015;108;112;2014-2015
Atlanta Hawks;New York Knicks;bet365;-2500;+1250;13 Apr 2015;108;112;2014-2015
Atlanta Hawks;New York Knicks;bwin;-2000;+1000;13 Apr 2015;108;112;2014-2015
Atlanta Hawks;New York Knicks;Marathonbet;-1429;+1050;13 Apr 2015;108;112;2014-2015
Atlanta Hawks;New York Knicks;Pinnacle;-2000;+1200;13 Apr 2015;108;112;2014-2015
Atlanta Hawks;New York Knicks;Unibet;-2500;+1200;13 Apr 2015;108;112;2014-2015
Atlanta Hawks;New York Knicks;William Hill;-2000;+1000;13 Apr 2015;108;112;2014-2015
New York Knicks;Milwaukee Bucks;bet-at-home;+462;-769;10 Apr 2015; 91;99 ;2014-2015
New York Knicks;Milwaukee Bucks;bet365;+525;-833;10 Apr 2015; 91;99 ;2014-2015
New York Knicks;Milwaukee Bucks;bwin;+550;-833;10 Apr 2015; 91;99 ;2014-2015
New York Knicks;Milwaukee Bucks;Marathonbet;+530;-625;10 Apr 2015; 91;99 ;2014-2015
New York Knicks;Milwaukee Bucks;Pinnacle;+552;-667;10 Apr 2015; 91;99 ;2014-2015
New York Knicks;Milwaukee Bucks;Unibet;+509;-714;10 Apr 2015; 91;99 ;2014-2015
New York Knicks;Milwaukee Bucks;William Hill;+520;-769;10 Apr 2015; 91;99 ;2014-2015
Chicago Bulls;Detroit Pistons;bet-at-home;-526;+351;04 Apr 2015; 88;82 ;2014-2015
Chicago Bulls;Detroit Pistons;bet365;-526;+400;04 Apr 2015; 88;82 ;2014-2015
Chicago Bulls;Detroit Pistons;bwin;-556;+400;04 Apr 2015; 88;82 ;2014-2015
Chicago Bulls;Detroit Pistons;Marathonbet;-500;+440;04 Apr 2015; 88;82 ;2014-2015
Chicago Bulls;Detroit Pistons;Pinnacle;-476;+412;04 Apr 2015; 88;82 ;2014-2015
Chicago Bulls;Detroit Pistons;Unibet;-556;+409;04 Apr 2015; 88;82 ;2014-2015
Chicago Bulls;Detroit Pistons;William Hill;-556;+375;04 Apr 2015; 88;82 ;2014-2015
Minnesota Timberwolves;Orlando Magic;bet-at-home;+143;-185;04 Apr 2015; 84;97 ;2014-2015
Minnesota Timberwolves;Orlando Magic;bet365;+165;-185;04 Apr 2015; 84;97 ;2014-2015
Minnesota Timberwolves;Orlando Magic;bwin;+154;-189;04 Apr 2015; 84;97 ;2014-2015
Minnesota Timberwolves;Orlando Magic;Marathonbet;+160;-175;04 Apr 2015; 84;97 ;2014-2015
Minnesota Timberwolves;Orlando Magic;Pinnacle;+154;-172;04 Apr 2015; 84;97 ;2014-2015
Minnesota Timberwolves;Orlando Magic;Unibet;+154;-189;04 Apr 2015; 84;97 ;2014-2015
Minnesota Timberwolves;Orlando Magic;William Hill;+160;-179;04 Apr 2015; 84;97 ;2014-2015
Brooklyn Nets;Toronto Raptors;bet-at-home;-130;+102;03 Apr 2015;114;109;2014-2015
Brooklyn Nets;Toronto Raptors;bet365;-132;+110;03 Apr 2015;114;109;2014-2015
Brooklyn Nets;Toronto Raptors;bwin;-139;+114;03 Apr 2015;114;109;2014-2015
Brooklyn Nets;Toronto Raptors;Marathonbet;-122;+112;03 Apr 2015;114;109;2014-2015
Brooklyn Nets;Toronto Raptors;Pinnacle;-133;+120;03 Apr 2015;114;109;2014-2015
Brooklyn Nets;Toronto Raptors;Unibet;-130;+108;03 Apr 2015;114;109;2014-2015
Brooklyn Nets;Toronto Raptors;William Hill;-125;+104;03 Apr 2015;114;109;2014-2015
Denver Nuggets;Utah Jazz;bet-at-home;-137;+106;28 Mar 2015;107;91 ;2014-2015
Denver Nuggets;Utah Jazz;bet365;-135;+114;28 Mar 2015;107;91 ;2014-2015
Denver Nuggets;Utah Jazz;bwin;-143;+120;28 Mar 2015;107;91 ;2014-2015
Denver Nuggets;Utah Jazz;Marathonbet;-115;+106;28 Mar 2015;107;91 ;2014-2015
Denver Nuggets;Utah Jazz;Pinnacle;-128;+116;28 Mar 2015;107;91 ;2014-2015
Denver Nuggets;Utah Jazz;Unibet;-130;+106;28 Mar 2015;107;91 ;2014-2015
